Zoraptera	Spiralizoridae	Spiralizoros	Spiralizoros caudelli
Psocoptera	Peripsocidae	Peripsocus	Peripsocus phaeopterus
Psocoptera	Peripsocidae	Peripsocus	Peripsocus subfasciatus
Psocoptera	Liposcelididae	Embidopsocus	Embidopsocus sp. Emsp2LIv2
Psocoptera	Liposcelididae	Liposcelis	Liposcelis pearmani
Psocoptera	Liposcelididae	Liposcelis	Liposcelis brunnea
Psocoptera	Psyllipsocidae	Dorypteryx	Dorypteryx domestica
Psocoptera	Compsocidae	Compsocus	Compsocus elegans
Psocoptera	Mesopsocidae	Idatenopsocus	Idatenopsocus orientalis
Psocoptera	Caeciliusidae	Fuelleborniella	Fuelleborniella sp. FuspCA
Psocoptera	Caeciliusidae	Paracaecilius	Paracaecilius japanus
Psocoptera	Caeciliusidae	Dypsocus	Dypsocus coleoptratus
Psocoptera	Caeciliusidae	Valenzuela	Valenzuela flavidus
Psocoptera	Caeciliusidae	Xanthocaecilius	Xanthocaecilius sommermanae
Neuroptera	Mantispidae	Eumantispa	Eumantispa harmandi
Neuroptera	Hemerobiidae	Hemerobius	Hemerobius nitidulus
Neuroptera	Hemerobiidae	Hemerobius	Hemerobius handschini
Neuroptera	Myrmeleontidae	Myrmeleon	Myrmeleon formicarius
Neuroptera	Chrysopidae	Apertochrysa	Apertochrysa ventralis
Neuroptera	Chrysopidae	Apertochrysa	Apertochrysa flavifrons
Neuroptera	Chrysopidae	Peyerimhoffina	Peyerimhoffina gracilis
Neuroptera	Chrysopidae	Chrysoperla	Chrysoperla carnea
Phasmatodea	Aschiphasmatidae	Abrosoma	Abrosoma johorense
Phasmatodea	Aschiphasmatidae	Orthomeria	Orthomeria sp. AD-2014
Phasmatodea	Pseudophasmatidae	Peruphasma	Peruphasma schultei
Phasmatodea	Phasmatidae	Spathomorpha	Spathomorpha lancettifer
Phasmatodea	Phasmatidae	Megacrania	Megacrania phelaus
Phasmatodea	Timematidae	Timema	Timema knulli
Odonata	Cordulegastridae	Cordulegaster	Cordulegaster boltonii
Zygentoma	Nicoletiidae	Atelura	Atelura formicaria
Zygentoma	Lepismatidae	Thermobia	Thermobia domestica
Phthiraptera	Neolinognathidae	Neolinognathus	Neolinognathus sp. NlspEledw
Phthiraptera	Linognathidae	Prolinognathus	Prolinognathus sp. XlspPrcap
Phthiraptera	Enderleinellidae	Enderleinellus	Enderleinellus marmotae
Phthiraptera	Gyropidae	Aotiella	Aotiella hershkovitzi
Phthiraptera	Gyropidae	Gliricola	Gliricola sp. GlspPrgar
Phthiraptera	Gyropidae	Macrogyropus	Macrogyropus costalimai
Phthiraptera	Ricinidae	Trochiloecetes	Trochiloecetes angustifrons
Phthiraptera	Ricinidae	Trochiloecetes	Trochiloecetes sp. TcspArcol
