Zoraptera	Spiralizoridae	Spiralizoros	Spiralizoros caudelli
Phthiraptera	Philopteridae	Acidoproctus	Acidoproctus rostratus
Phthiraptera	Philopteridae	Turnicola	Turnicola angustissimus
Phthiraptera	Philopteridae	Turnicola	Turnicola sp. TkspTuvar
Phthiraptera	Philopteridae	Turnicola	Turnicola sp. TkspTupyr
Phthiraptera	Philopteridae	Splendoroffula	Splendoroffula sp. SpspTusch
Phthiraptera	Philopteridae	Splendoroffula	Splendoroffula sp. SpspTapor
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspMocla
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspLaaet
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspCagut
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. 'Clayiella' ClspMomo
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspTenig
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspSaspi
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspPrplu
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspPiang
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspPanig
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspPagri
Phthiraptera	Philopteridae	Philopterus	Philopterus ornatus
Phthiraptera	Philopteridae	Philopterus	Philopterus neotropicalis
Phthiraptera	Philopteridae	Philopterus	Philopterus agelaii
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PnspNear
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspOcpul
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspPiint
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspLecoe
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspAshel
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspSyspo
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspThruf
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspPycin
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspDileu
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspMycol
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspSppin
Phthiraptera	Philopteridae	Philopterus	Philopterus corvi
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspSctur
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspTosul
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspMioli
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspVojac
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspLopil
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspPimen
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspCoorr
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspTeruf
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspPhict
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspDiads
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspPtgui
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspAmmac
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspEurub
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspColon
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspHymad
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspClpic
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspPrnew
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspGrcya
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspCipun
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspColeu
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspSppus
Phthiraptera	Philopteridae	Philopterus	Philopterus kekilovae
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspNoruf
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspPiiri
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspCrquo
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspEuann
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspDihot
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspHepic
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspHidau
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspThpun
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspHakas
Phthiraptera	Philopteridae	Philopterus	Philopterus solus
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspBamar
Phthiraptera	Philopteridae	Philopterus	Philopterus sp. PpspTymel
Phthiraptera	Philopteridae	Mulcticola	Mulcticola sp. MuspEuarg
Phthiraptera	Philopteridae	Mulcticola	Mulcticola sp. MuspCaena
Phthiraptera	Philopteridae	Mulcticola	Mulcticola sp. MuspNyalb
Phthiraptera	Philopteridae	Meropoecus	Meropoecus sp. MrspMeorn
Phthiraptera	Philopteridae	Upupicola	Upupicola upupae
Phthiraptera	Philopteridae	Trogoniella	Trogoniella apaloderma
Phthiraptera	Philopteridae	Pseudocophorus	Pseudocophorus antennatus
Phthiraptera	Philopteridae	Lagopoecus	Lagopoecus obscurus
Phthiraptera	Philopteridae	Lagopoecus	Lagopoecus gibsoni
Phthiraptera	Philopteridae	Hopkinsiella	Hopkinsiella hopkinsi
Phthiraptera	Philopteridae	Caracaricola	Caracaricola chimangophilus
Phthiraptera	Philopteridae	Buceronirmus	Buceronirmus longicuneatus
Phthiraptera	Philopteridae	Buceroemersonia	Buceroemersonia sp. BmspTonas
Phthiraptera	Philopteridae	Buceroemersonia	Buceroemersonia clarkei
Phthiraptera	Philopteridae	Bucerocophorus	Bucerocophorus latifrons
Phthiraptera	Philopteridae	Acutifrons	Acutifrons mexicanus
Phthiraptera	Philopteridae	Strigiphilus	Strigiphilus sp. StspTyalb
Phthiraptera	Philopteridae	Strigiphilus	Strigiphilus sp. StspNicon
Phthiraptera	Philopteridae	Strigiphilus	Strigiphilus cursor
Phthiraptera	Philopteridae	Rhynonirmus	Rhynonirmus parsonsae
Phthiraptera	Philopteridae	Pseudonirmus	Pseudonirmus lugubris
Phthiraptera	Philopteridae	Ornithobius	Ornithobius goniopleurus
Phthiraptera	Philopteridae	Rhopaloceras	Rhopaloceras genitalis
Phthiraptera	Philopteridae	Rhopaloceras	Rhopaloceras rudimentarius
Phthiraptera	Philopteridae	Rhopaloceras	Rhopaloceras abbreviatus
Phthiraptera	Philopteridae	Rhopaloceras	Rhopaloceras pennaticeps
Phthiraptera	Philopteridae	Rhopaloceras	Rhopaloceras brevitemporalis
Phthiraptera	Philopteridae	Rhopaloceras	Rhopaloceras undulatus
Phthiraptera	Philopteridae	Rhopaloceras	Rhopaloceras sp. RpspTigut
Phthiraptera	Philopteridae	Rhopaloceras	Rhopaloceras sp. RpspCrstr
Phthiraptera	Philopteridae	Physconella	Physconella sp. PwspCrsou
Phthiraptera	Philopteridae	Physconella	Physconella nothocercae
Phthiraptera	Philopteridae	Physconella	Physconella emersoni
Phthiraptera	Philopteridae	Physconella	Physconella sp. PwspCrobs
Phthiraptera	Philopteridae	Psophiicola	Psophiicola sp. PsspPscre
Phthiraptera	Philopteridae	Psophiicola	Psophiicola sp. PsspPsvir
Phthiraptera	Philopteridae	Palmaellus	Palmaellus sp. PaspPsvir
Phthiraptera	Philopteridae	Labicotes	Labicotes sp. LbspPesup
Phthiraptera	Philopteridae	Epipicus	Epipicus sp. EpspCarub
Phthiraptera	Philopteridae	Alcedoecus	Alcedoecus delphax
Phthiraptera	Philopteridae	Alcedoecus	Alcedoecus sp. AlspHabad
Phthiraptera	Philopteridae	Trogoninirmus	Trogoninirmus sp. GuspTrmel
Phthiraptera	Philopteridae	Trogoninirmus	Trogoninirmus hastiformis
Phthiraptera	Philopteridae	Trogoninirmus	Trogoninirmus sp. Trsp.Trper
Phthiraptera	Philopteridae	Cuclotogaster	Cuclotogaster sp. Liesp
Phthiraptera	Philopteridae	Cuclotogaster	Cuclotogaster cinereus
Phthiraptera	Philopteridae	Cuclotogaster	Cuclotogaster sp. Cgsp.Frhil
Phthiraptera	Philopteridae	Capraiella	Capraiella sp. CbspEugul
Phthiraptera	Philopteridae	Capraiella	Capraiella sp. Cbsp.Eugla
Phthiraptera	Philopteridae	Capraiella	Capraiella sp. Cbsp.Coaby
Phthiraptera	Philopteridae	Theresiella	Theresiella sp. TsspPsbre
Phthiraptera	Philopteridae	Pseudophilopterus	Pseudophilopterus obsoletus
Phthiraptera	Philopteridae	Pseudophilopterus	Pseudophilopterus sp. QsspCrstr
Phthiraptera	Philopteridae	Passonomedea	Passonomedea sp. PyspOdspe
Phthiraptera	Philopteridae	Passonomedea	Passonomedea sp. PyspOdguj
Phthiraptera	Philopteridae	Passonomedea	Passonomedea sp. PyspOdste
Phthiraptera	Philopteridae	Paragoniocotes	Paragoniocotes sp. PaspPylep248
Phthiraptera	Philopteridae	Paragoniocotes	Paragoniocotes longulufrons
Phthiraptera	Philopteridae	Paragoniocotes	Paragoniocotes sp. PaspPymel
Phthiraptera	Philopteridae	Paragoniocotes	Paragoniocotes sp. PaspAmkaw
Phthiraptera	Philopteridae	Paragoniocotes	Paragoniocotes sp. PaspArjan
Phthiraptera	Philopteridae	Paragoniocotes	Paragoniocotes sp. PaspArleu
Phthiraptera	Philopteridae	Paragoniocotes	Paragoniocotes sp. PaspArast
Phthiraptera	Philopteridae	Paragoniocotes	Paragoniocotes venezolanus
Phthiraptera	Philopteridae	Paragoniocotes	Paragoniocotes guajirensis
Phthiraptera	Philopteridae	Paragoniocotes	Paragoniocotes grandis
Phthiraptera	Philopteridae	Paragoniocotes	Paragoniocotes sp. PaspPyper
Phthiraptera	Philopteridae	Paragoniocotes	Paragoniocotes sp. PaspPyane
Phthiraptera	Philopteridae	Paragoniocotes	Paragoniocotes sp. PaspArsev
Phthiraptera	Philopteridae	Paragoniocotes	Paragoniocotes sp. PaspPisen
Phthiraptera	Philopteridae	Formicaphagus	Formicaphagus sp. FmspHypoe67
Phthiraptera	Philopteridae	Formicaphagus	Formicaphagus sp. FmspMymyo
Phthiraptera	Philopteridae	Formicaphagus	Formicaphagus sp. FmspScnae
Phthiraptera	Philopteridae	Formicaphagus	Formicaphagus sp. FmspMyhau
Phthiraptera	Philopteridae	Formicaphagus	Formicaphagus sp. FmspWipoe
Phthiraptera	Philopteridae	Formicaphagus	Formicaphagus sp. FmspCocas
Phthiraptera	Philopteridae	Formicaphagus	Formicaphagus sp. FmspCoaur
Phthiraptera	Philopteridae	Formicaphagus	Formicaphagus sp. FmspScleu
Phthiraptera	Philopteridae	Formicaphagus	Formicaphagus sp. FmspCetyr
Phthiraptera	Philopteridae	Formicaphagus	Formicaphagus sp. FmspMyful
Phthiraptera	Philopteridae	Formicaphagus	Formicaphagus sp. FmspHynae
Phthiraptera	Philopteridae	Formicaphagus	Formicaphagus sp. FmspDypun
Phthiraptera	Philopteridae	Buerelius	Buerelius sp. BlspBrlep
Phthiraptera	Philopteridae	Bizarrifrons	Bizarrifrons sp. BispCacel
Phthiraptera	Philopteridae	Emersoniella	Emersoniella sp. EmspTasyl
Phthiraptera	Philopteridae	Emersoniella	Emersoniella bracteata
Phthiraptera	Philopteridae	Sturnidoecus	Sturnidoecus sp. SnspHymus
Phthiraptera	Philopteridae	Sturnidoecus	Sturnidoecus sp. SnspZocit
Phthiraptera	Philopteridae	Sturnidoecus	Sturnidoecus caligineus
Phthiraptera	Philopteridae	Sturnidoecus	Sturnidoecus sp. Snsp
Phthiraptera	Philopteridae	Sturnidoecus	Sturnidoecus simplex
Phthiraptera	Philopteridae	Psittaconirmus	Psittaconirmus sp. PcspTrrub
Phthiraptera	Philopteridae	Psittaconirmus	Psittaconirmus sp. PcspPsdes
Phthiraptera	Philopteridae	Psittaconirmus	Psittaconirmus sp. PcspOrarf
Phthiraptera	Philopteridae	Psittaconirmus	Psittaconirmus launceloti
Phthiraptera	Philopteridae	Psittoecus	Psittoecus sp. QkspCalea
Phthiraptera	Philopteridae	Psittoecus	Psittoecus sp. QkspCagal
Phthiraptera	Philopteridae	Psittoecus	Psittoecus eos
Phthiraptera	Philopteridae	Anatoecus	Anatoecus sp. AtspChpic
Phthiraptera	Philopteridae	Anatoecus	Anatoecus sp. AtspPhand
Phthiraptera	Philopteridae	Anatoecus	Anatoecus sp. AtspCyatr
Phthiraptera	Philopteridae	Anatoecus	Anatoecus keymeri
Phthiraptera	Philopteridae	Anatoecus	Anatoecus dentatus
Phthiraptera	Philopteridae	Anatoecus	Anatoecus penicillatus
Phthiraptera	Philopteridae	Anatoecus	Anatoecus icterodes
Phthiraptera	Philopteridae	Pessoaiella	Pessoaiella absita
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. MaspOrnig
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. PnspThgen
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. FospAnvar
Phthiraptera	Philopteridae	Rallicola	Rallicola insulana
Phthiraptera	Philopteridae	Rallicola	Rallicola scapanoides
Phthiraptera	Philopteridae	Rallicola	Rallicola gracilentus
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspApaus
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspApowe
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspGaphi
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspPopor33
Phthiraptera	Philopteridae	Rallicola	Rallicola takahe
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. FmspCylin
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspPopor10
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspPopor1
Phthiraptera	Philopteridae	Rallicola	Rallicola keymerae
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspLamel
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspPhery
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspLeaff
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspScsp
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspCapus
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspMasqu
Phthiraptera	Philopteridae	Rallicola	Rallicola tompkinsi
Phthiraptera	Philopteridae	Rallicola	Rallicola picirostris
Phthiraptera	Philopteridae	Rallicola	Rallicola laticephala
Phthiraptera	Philopteridae	Rallicola	Rallicola harveyi
Phthiraptera	Philopteridae	Rallicola	Rallicola elliotti
Phthiraptera	Philopteridae	Rallicola	Rallicola californicus
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspLealb
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspPocar
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspRaele
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspSaruf
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspDemer
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspScruf
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspAuinf
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. Raruf
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspPhpyr
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspAuoch
Phthiraptera	Philopteridae	Rallicola	Rallicola chunchotambo
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspXerut
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspAnstr
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. FmspCorob
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspPrbruPE
Phthiraptera	Philopteridae	Rallicola	Rallicola certhia
Phthiraptera	Philopteridae	Rallicola	Rallicola centropus
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspSyruf
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspXiobs
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspHybri
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspNalon
Phthiraptera	Philopteridae	Rallicola	Rallicola wernecki
Phthiraptera	Philopteridae	Rallicola	Rallicola taylori
Phthiraptera	Philopteridae	Rallicola	Rallicola leucopterae
Phthiraptera	Philopteridae	Rallicola	Rallicola lachrymosa
Phthiraptera	Philopteridae	Rallicola	Rallicola guimaraesi
Phthiraptera	Philopteridae	Rallicola	Rallicola fulicae
Phthiraptera	Philopteridae	Rallicola	Rallicola deckeri
Phthiraptera	Philopteridae	Rallicola	Rallicola cornutae
Phthiraptera	Philopteridae	Rallicola	Rallicola cephalosa
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspGagal
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspFuala
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspSysub
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspPrbru
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspAnvar
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspDecer
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspEucas
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspPopor
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspFuard
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspDeful
Phthiraptera	Philopteridae	Rallicola	Rallicola harrisoni
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspApsp
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspXiery
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspIrgal
Phthiraptera	Philopteridae	Rallicola	Rallicola sp. RaspCesen
Phthiraptera	Philopteridae	Rallicola	Rallicola kelloggi
Phthiraptera	Philopteridae	Rallicola	Rallicola advenus
Phthiraptera	Philopteridae	Rallicola	Rallicola foedus
Phthiraptera	Philopteridae	Carduiceps	Carduiceps lapponicus
Phthiraptera	Philopteridae	Carduiceps	Carduiceps zonarius
Phthiraptera	Philopteridae	Lunaceps	Lunaceps haematopi
Phthiraptera	Philopteridae	Lunaceps	Lunaceps sp. KJ-2017
Phthiraptera	Philopteridae	Lunaceps	Lunaceps numenii
Phthiraptera	Philopteridae	Lunaceps	Lunaceps drosti
Phthiraptera	Philopteridae	Kodocephalon	Kodocephalon suborbiculatum
Phthiraptera	Philopteridae	Kodocephalon	Kodocephalon bradicephalum
Phthiraptera	Philopteridae	Goniocotes	Goniocotes sp. GospTycup
Phthiraptera	Philopteridae	Goniocotes	Goniocotes sp. GospPtpet
Phthiraptera	Philopteridae	Goniocotes	Goniocotes sp. GospAllat
Phthiraptera	Philopteridae	Goniocotes	Goniocotes sp. GospMerei
Phthiraptera	Philopteridae	Goniocotes	Goniocotes chrysocephalus
Phthiraptera	Philopteridae	Goniodes	Goniodes sp. GdspPtswa
Phthiraptera	Philopteridae	Goniodes	Goniodes sp. GdspPhcol
Phthiraptera	Philopteridae	Goniodes	Goniodes sp. GdspNumel
Phthiraptera	Philopteridae	Goniodes	Goniodes sp. GdspFrbic
Phthiraptera	Philopteridae	Goniodes	Goniodes sp. GdspFraha
Phthiraptera	Philopteridae	Goniodes	Goniodes sp. GdspCrmon
Phthiraptera	Philopteridae	Goniodes	Goniodes sp. GdspCacal
Phthiraptera	Philopteridae	Goniodes	Goniodes sp. GdspAllat
Phthiraptera	Philopteridae	Goniodes	Goniodes coronatus
Phthiraptera	Philopteridae	Goniodes	Goniodes merriamanus
Phthiraptera	Philopteridae	Goniodes	Goniodes sp. Gdass
Phthiraptera	Philopteridae	Goniodes	Goniodes ortygis
Phthiraptera	Philopteridae	Goniodes	Goniodes centrocerci
Phthiraptera	Philopteridae	Goniodes	Goniodes astrocephalus
Phthiraptera	Philopteridae	Goniodes	Goniodes biordinatus
Phthiraptera	Philopteridae	Goniodes	Goniodes talegallae
Phthiraptera	Philopteridae	Forficuloecus	Forficuloecus sp. FfspNemer
Phthiraptera	Philopteridae	Forficuloecus	Forficuloecus sp. FfspCynov
Phthiraptera	Philopteridae	Forficuloecus	Forficuloecus sp. FfpsPsdis
Phthiraptera	Philopteridae	Forficuloecus	Forficuloecus sp. FfspPshae
Phthiraptera	Philopteridae	Forficuloecus	Forficuloecus wilsoni
Phthiraptera	Philopteridae	Forficuloecus	Forficuloecus palmai
Phthiraptera	Philopteridae	Forficuloecus	Forficuloecus josephi
Phthiraptera	Philopteridae	Forficuloecus	Forficuloecus forficula
Phthiraptera	Philopteridae	Forficuloecus	Forficuloecus cameroni
Phthiraptera	Philopteridae	Forficuloecus	Forficuloecus banksi
Phthiraptera	Philopteridae	Bothriometopus	Bothriometopus macrocnemis
Phthiraptera	Philopteridae	Echinophilopterus	Echinophilopterus sp. EtspPocry
Phthiraptera	Philopteridae	Echinophilopterus	Echinophilopterus angustoclypeatus
Phthiraptera	Philopteridae	Echinophilopterus	Echinophilopterus claytoni
Phthiraptera	Philopteridae	Austrophilopterus	Austrophilopterus thysi
Phthiraptera	Philopteridae	Austrophilopterus	Austrophilopterus flavirostris
Phthiraptera	Philopteridae	Austrophilopterus	Austrophilopterus sp. Ausp.Aupra
Phthiraptera	Philopteridae	Austrophilopterus	Austrophilopterus andigenae
Phthiraptera	Philopteridae	Austrophilopterus	Austrophilopterus cancellosus
Phthiraptera	Philopteridae	Degeeriella	Degeeriella vagans
Phthiraptera	Philopteridae	Degeeriella	Degeeriella discocephalus
Phthiraptera	Philopteridae	Degeeriella	Degeeriella sp. DgspBupla
Phthiraptera	Philopteridae	Degeeriella	Degeeriella sp. DgspBujam
Phthiraptera	Philopteridae	Degeeriella	Degeeriella rufa
Phthiraptera	Philopteridae	Vernoniella	Vernoniella guimaraesi
Phthiraptera	Philopteridae	Vernoniella	Vernoniella bergi
Phthiraptera	Philopteridae	Neopsittaconirmus	Neopsittaconirmus borgiolii
Phthiraptera	Philopteridae	Neopsittaconirmus	Neopsittaconirmus africanus
Phthiraptera	Philopteridae	Neopsittaconirmus	Neopsittaconirmus sp. NsspNebou
Phthiraptera	Philopteridae	Neopsittaconirmus	Neopsittaconirmus sp. NsspCaban
Phthiraptera	Philopteridae	Neopsittaconirmus	Neopsittaconirmus albus
Phthiraptera	Philopteridae	Neopsittaconirmus	Neopsittaconirmus sp. NsspApery
Phthiraptera	Philopteridae	Neopsittaconirmus	Neopsittaconirmus sp. NsspNyhol
Phthiraptera	Philopteridae	Neopsittaconirmus	Neopsittaconirmus sp. NsspPsvar
Phthiraptera	Philopteridae	Neopsittaconirmus	Neopsittaconirmus sp. NsspPosen
Phthiraptera	Philopteridae	Neopsittaconirmus	Neopsittaconirmus sp. NsspCalea
Phthiraptera	Philopteridae	Neopsittaconirmus	Neopsittaconirmus sp. NsspPshae
Phthiraptera	Philopteridae	Neopsittaconirmus	Neopsittaconirmus eos
Phthiraptera	Philopteridae	Neopsittaconirmus	Neopsittaconirmus bushae
Phthiraptera	Philopteridae	Neopsittaconirmus	Neopsittaconirmus circumfasciatus
Phthiraptera	Philopteridae	Lipeurus	Lipeurus sp. LispPtswa
Phthiraptera	Philopteridae	Lipeurus	Lipeurus crassus
Phthiraptera	Philopteridae	Lipeurus	Lipeurus sp. Lisp.Numel
Phthiraptera	Philopteridae	Lipeurus	Lipeurus caponis
Phthiraptera	Philopteridae	Ibidoecus	Ibidoecus australis
Phthiraptera	Philopteridae	Ibidoecus	Ibidoecus dianae
Phthiraptera	Philopteridae	Ibidoecus	Ibidoecus flavus
Phthiraptera	Philopteridae	Ibidoecus	Ibidoecus bisignatus
Phthiraptera	Philopteridae	Falcolipeurus	Falcolipeurus secretarius
Phthiraptera	Philopteridae	Falcolipeurus	Falcolipeurus sp. FaspAqwah
Phthiraptera	Philopteridae	Falcolipeurus	Falcolipeurus marginalis
Phthiraptera	Philopteridae	Craspedonirmus	Craspedonirmus immer
Phthiraptera	Philopteridae	Nesiotinus	Nesiotinus demersus
Phthiraptera	Philopteridae	Pelmatocerandra	Pelmatocerandra enderleini
Phthiraptera	Philopteridae	Incidifrons	Incidifrons sp. InspRaele
Phthiraptera	Philopteridae	Incidifrons	Incidifrons transpositus
Phthiraptera	Philopteridae	Picicola	Picicola sp. BrspPynig
Phthiraptera	Philopteridae	Picicola	Picicola sp. PnspMeell
Phthiraptera	Philopteridae	Picicola	Picicola sp. PnspCeele
Phthiraptera	Philopteridae	Picicola	Picicola sp. PnspCacai
Phthiraptera	Philopteridae	Picicola	Picicola sp. PnspCaben
Phthiraptera	Philopteridae	Picicola	Picicola quadripustulosus
Phthiraptera	Philopteridae	Picicola	Picicola foedus
Phthiraptera	Philopteridae	Picicola	Picicola cuniculariae
Phthiraptera	Philopteridae	Picicola	Picicola campethera
Phthiraptera	Philopteridae	Picicola	Picicola sp. TuspTrcal
Phthiraptera	Philopteridae	Picicola	Picicola sp. PispPiiri
Phthiraptera	Philopteridae	Picicola	Picicola sp. PispGatom
Phthiraptera	Philopteridae	Picicola	Picicola sp. Pisp.Smcap
Phthiraptera	Philopteridae	Picicola	Picicola sp. Pisp.Pyalb
Phthiraptera	Philopteridae	Picicola	Picicola sp. Pisp.Pifla
Phthiraptera	Philopteridae	Picicola	Picicola sp. Pisp.Cegra
Phthiraptera	Philopteridae	Picicola	Picicola sp. Iscsp.Grsqu
Phthiraptera	Philopteridae	Picicola	Picicola serrafreirei
Phthiraptera	Philopteridae	Picicola	Picicola osheai
Phthiraptera	Philopteridae	Picicola	Picicola naokii
Phthiraptera	Philopteridae	Picicola	Picicola faucetti
Phthiraptera	Philopteridae	Picicola	Picicola snodgrassi
Phthiraptera	Philopteridae	Cotingacola	Cotingacola tergalis
Phthiraptera	Philopteridae	Cotingacola	Cotingacola rupicolae
Phthiraptera	Philopteridae	Cotingacola	Cotingacola sp. Cosp.Ceorn
Phthiraptera	Philopteridae	Cotingacola	Cotingacola engeli
Phthiraptera	Philopteridae	Cotingacola	Cotingacola stotzi
Phthiraptera	Philopteridae	Neophilopterus	Neophilopterus incompletus
Phthiraptera	Philopteridae	Philoceanus	Philoceanus robertsi
Phthiraptera	Philopteridae	Perineus	Perineus circumfasciatus
Phthiraptera	Philopteridae	Paraclisis	Paraclisis diomedeae
Phthiraptera	Philopteridae	Episbates	Episbates pederiformis
Phthiraptera	Philopteridae	Ardeicola	Ardeicola nigra
Phthiraptera	Philopteridae	Ardeicola	Ardeicola neopallidus
Phthiraptera	Philopteridae	Ardeicola	Ardeicola australis
Phthiraptera	Philopteridae	Ardeicola	Ardeicola atratus
Phthiraptera	Philopteridae	Ardeicola	Ardeicola sp. ArspAribi
Phthiraptera	Philopteridae	Ardeicola	Ardeicola sp. ArspIxfla
Phthiraptera	Philopteridae	Ardeicola	Ardeicola pilgrimi
Phthiraptera	Philopteridae	Ardeicola	Ardeicola ibis
Phthiraptera	Philopteridae	Ardeicola	Ardeicola harrisoni
Phthiraptera	Philopteridae	Ardeicola	Ardeicola rhaphidius
Phthiraptera	Philopteridae	Ardeicola	Ardeicola expallidus
Phthiraptera	Philopteridae	Ardeicola	Ardeicola geronticorum
Phthiraptera	Philopteridae	Fulicoffula	Fulicoffula sp. FuspFuruf
Phthiraptera	Philopteridae	Fulicoffula	Fulicoffula sp. FuspFuala
Phthiraptera	Philopteridae	Fulicoffula	Fulicoffula sp. FuspFugig
Phthiraptera	Philopteridae	Fulicoffula	Fulicoffula sp. FuspFuarm
Phthiraptera	Philopteridae	Fulicoffula	Fulicoffula sp. FuspFuard
Phthiraptera	Philopteridae	Fulicoffula	Fulicoffula lurida
Phthiraptera	Philopteridae	Fulicoffula	Fulicoffula sp. FuspPocar
Phthiraptera	Philopteridae	Fulicoffula	Fulicoffula longipila
